scenario,distribution,days,density
current_nsw_case_init_0.2,isolation_swab,4,0.0015795069263349838
current_nsw_case_init_0.2,test_turnaround_time,4,0.013390168187925683
current_nsw_case_init_0.2,time_to_interview,4,0.059328573598663226
current_nsw_case_init_0.2,interview_isolation,4,0.0015795069263349838
current_nsw_case_init_0.2,isolation_swab,5,1.5795069263349796e-4
current_nsw_case_init_0.2,test_turnaround_time,5,0.005397766760876616
current_nsw_case_init_0.2,time_to_interview,5,0.07186996809965061
current_nsw_case_init_0.2,interview_isolation,5,1.5795069263349796e-4
current_nsw_case_init_0.2,isolation_swab,6,1.3162557719458172e-5
current_nsw_case_init_0.2,test_turnaround_time,6,0.0028262984756521337
current_nsw_case_init_0.2,time_to_interview,6,0.04209630867385691
current_nsw_case_init_0.2,interview_isolation,6,1.3162557719458172e-5
current_nsw_case_init_0.2,isolation_swab,7,9.401826942470148e-7
current_nsw_case_init_0.2,test_turnaround_time,7,0.0020618079043691795
current_nsw_case_init_0.2,time_to_interview,7,0.014631626917818625
current_nsw_case_init_0.2,interview_isolation,7,9.401826942470148e-7
current_nsw_case_init_0.2,isolation_swab,8,5.876141839043841e-8
current_nsw_case_init_0.2,test_turnaround_time,8,0.0017838113329935598
current_nsw_case_init_0.2,time_to_interview,8,0.006343612334801763
current_nsw_case_init_0.2,interview_isolation,8,5.876141839043841e-8
current_nsw_case_init_0.2,isolation_swab,9,3.264523243913249e-9
current_nsw_case_init_0.2,test_turnaround_time,9,9.498216188667006e-4
current_nsw_case_init_0.2,time_to_interview,9,0.0037429743278140667
current_nsw_case_init_0.2,interview_isolation,9,3.264523243913249e-9
current_nsw_case_init_0.2,isolation_swab,10,1.632261621956627e-10
current_nsw_case_init_0.2,test_turnaround_time,10,5.791595236992077e-4
current_nsw_case_init_0.2,time_to_interview,10,0.0022117575573446756
current_nsw_case_init_0.2,interview_isolation,10,1.632261621956627e-10
current_nsw_case_init_0.2,isolation_swab,11,7.419371008893695e-12
current_nsw_case_init_0.2,test_turnaround_time,11,2.0849742853171479e-4
current_nsw_case_init_0.2,time_to_interview,11,0.0013853866018532586
current_nsw_case_init_0.2,interview_isolation,11,7.419371008893695e-12
current_nsw_case_init_0.2,isolation_swab,12,3.0914045870390403e-13
current_nsw_case_init_0.2,test_turnaround_time,12,4.4016123801139787e-4
current_nsw_case_init_0.2,time_to_interview,12,9.722011241075498e-4
current_nsw_case_init_0.2,interview_isolation,12,3.0914045870390403e-13
current_nsw_case_init_0.2,isolation_swab,13,1.189001764245786e-14
current_nsw_case_init_0.2,test_turnaround_time,13,1.1583190473984154e-4
current_nsw_case_init_0.2,time_to_interview,13,4.374905058483974e-4
current_nsw_case_init_0.2,interview_isolation,13,1.189001764245786e-14
current_nsw_case_init_0.2,isolation_swab,14,4.246434872306379e-16
current_nsw_case_init_0.2,test_turnaround_time,14,3.2432933327155634e-4
current_nsw_case_init_0.2,time_to_interview,14,3.1596536533495367e-4
current_nsw_case_init_0.2,interview_isolation,14,4.246434872306379e-16
current_nsw_case_init_0.4,isolation_swab,0,0.6065306597126334
current_nsw_case_init_0.4,test_turnaround_time,0,0.11553074178751796
current_nsw_case_init_0.4,time_to_interview,0,0.5568950326598815
current_nsw_case_init_0.4,interview_isolation,0,0.6065306597126334
current_nsw_case_init_0.4,isolation_swab,1,0.3032653298563167
current_nsw_case_init_0.4,test_turnaround_time,1,0.5632905527498494
current_nsw_case_init_0.4,time_to_interview,1,0.16003038128512836
current_nsw_case_init_0.4,interview_isolation,1,0.3032653298563167
current_nsw_case_init_0.4,isolation_swab,2,0.07581633246407919
current_nsw_case_init_0.4,test_turnaround_time,2,0.22974099986100172
current_nsw_case_init_0.4,time_to_interview,2,0.07280571168160413
current_nsw_case_init_0.4,interview_isolation,2,0.07581633246407919
current_nsw_case_init_0.4,isolation_swab,3,0.012636055410679864
current_nsw_case_init_0.4,test_turnaround_time,3,0.06336005189269332
current_nsw_case_init_0.4,time_to_interview,3,0.057766975543065466
current_nsw_case_init_0.4,interview_isolation,3,0.012636055410679864
current_nsw_case_init_0.4,isolation_swab,4,0.0015795069263349838
current_nsw_case_init_0.4,test_turnaround_time,4,0.013390168187925683
current_nsw_case_init_0.4,time_to_interview,4,0.04449643019899742
current_nsw_case_init_0.4,interview_isolation,4,0.0015795069263349838
current_nsw_case_init_0.4,isolation_swab,5,1.5795069263349796e-4
current_nsw_case_init_0.4,test_turnaround_time,5,0.005397766760876616
current_nsw_case_init_0.4,time_to_interview,5,0.053902476074737964
current_nsw_case_init_0.4,interview_isolation,5,1.5795069263349796e-4
current_nsw_case_init_0.4,isolation_swab,6,1.3162557719458172e-5
current_nsw_case_init_0.4,test_turnaround_time,6,0.0028262984756521337
current_nsw_case_init_0.4,time_to_interview,6,0.03157223150539268
current_nsw_case_init_0.4,interview_isolation,6,1.3162557719458172e-5
current_nsw_case_init_0.4,isolation_swab,7,9.401826942470148e-7
current_nsw_case_init_0.4,test_turnaround_time,7,0.0020618079043691795
current_nsw_case_init_0.4,time_to_interview,7,0.010973720188363968
current_nsw_case_init_0.4,interview_isolation,7,9.401826942470148e-7
current_nsw_case_init_0.4,isolation_swab,8,5.876141839043841e-8
current_nsw_case_init_0.4,test_turnaround_time,8,0.0017838113329935598
current_nsw_case_init_0.4,time_to_interview,8,0.004757709251101322
current_nsw_case_init_0.4,interview_isolation,8,5.876141839043841e-8
current_nsw_case_init_0.4,isolation_swab,9,3.264523243913249e-9
current_nsw_case_init_0.4,test_turnaround_time,9,9.498216188667006e-4
current_nsw_case_init_0.4,time_to_interview,9,0.00280723074586055
current_nsw_case_init_0.4,interview_isolation,9,3.264523243913249e-9
current_nsw_case_init_0.4,isolation_swab,10,1.632261621956627e-10
current_nsw_case_init_0.4,test_turnaround_time,10,5.791595236992077e-4
current_nsw_case_init_0.4,time_to_interview,10,0.0016588181680085067
current_nsw_case_init_0.4,interview_isolation,10,1.632261621956627e-10
current_nsw_case_init_0.4,isolation_swab,11,7.419371008893695e-12
current_nsw_case_init_0.4,test_turnaround_time,11,2.0849742853171479e-4
current_nsw_case_init_0.4,time_to_interview,11,0.0010390399513899439
current_nsw_case_init_0.4,interview_isolation,11,7.419371008893695e-12
current_nsw_case_init_0.4,isolation_swab,12,3.0914045870390403e-13
current_nsw_case_init_0.4,test_turnaround_time,12,4.4016123801139787e-4
current_nsw_case_init_0.4,time_to_interview,12,7.291508430806623e-4
current_nsw_case_init_0.4,interview_isolation,12,3.0914045870390403e-13
current_nsw_case_init_0.4,isolation_swab,13,1.189001764245786e-14
current_nsw_case_init_0.4,test_turnaround_time,13,1.1583190473984154e-4
current_nsw_case_init_0.4,time_to_interview,13,3.2811787938629805e-4
current_nsw_case_init_0.4,interview_isolation,13,1.189001764245786e-14
current_nsw_case_init_0.4,isolation_swab,14,4.246434872306379e-16
current_nsw_case_init_0.4,test_turnaround_time,14,3.2432933327155634e-4
current_nsw_case_init_0.4,time_to_interview,14,2.3697402400121523e-4
current_nsw_case_init_0.4,interview_isolation,14,4.246434872306379e-16
current_nsw_case_init_0.6,isolation_swab,0,0.6065306597126334
current_nsw_case_init_0.6,test_turnaround_time,0,0.11553074178751796
current_nsw_case_init_0.6,time_to_interview,0,0.7045966884399211
current_nsw_case_init_0.6,interview_isolation,0,0.6065306597126334
current_nsw_case_init_0.6,isolation_swab,1,0.3032653298563167
current_nsw_case_init_0.6,test_turnaround_time,1,0.5632905527498494
current_nsw_case_init_0.6,time_to_interview,1,0.10668692085675222
current_nsw_case_init_0.6,interview_isolation,1,0.3032653298563167
current_nsw_case_init_0.6,isolation_swab,2,0.07581633246407919
current_nsw_case_init_0.6,test_turnaround_time,2,0.22974099986100172
